,id,id_str,full_text,source,source_url,retweet_count,favorite_count,lang,full_text_lemmatiz,sentiment,polarity,sentiment_analysis
58,1470354792652279810,1470354792652279810,actors kareenakapoorkhan amritaarora tested positive covid bmc ordered people came contact tw…,Twitter for Android,http://twitter.com/download/android,15,0,en,"['actor', 'kareenakapoorkhan', 'amritaarora', 'tested', 'positive', 'covid', 'bmc', 'ordered', 'people', 'came', 'contact', 'tw…']",0.5454545454545454,0.22727272727272727,POSITIVE
59,1470354773962543111,1470354773962543111,japan lost people suicide covid,Twitter Web App,https://mobile.twitter.com,0,0,en,"['japan', 'lost', 'people', 'suicide', 'covid']",0.0,0.0,ZERO
60,1470354766148640770,1470354766148640770,oliver cromwell’s speech parliament april rings alarm bells torycorruption torysleaze t…,Twitter for Android,http://twitter.com/download/android,97,0,en,"['oliver', 'cromwell’s', 'speech', 'parliament', 'april', 'ring', 'alarm', 'bell', 'torycorruption', 'torysleaze', 't…']",0.0,0.0,ZERO
61,1470354760750403590,1470354760750403590,extraordinary judging comments seen “extreme” view extreme “every e…,Twitter for iPhone,http://twitter.com/download/iphone,29,0,en,"['extraordinary', 'judging', 'comment', 'seen', '“extreme”', 'view', 'extreme', '“every', 'e…']",1.0,0.027777777777777773,POSITIVE
62,1470354760301948930,1470354760301948930,days nicaragua sever ties taiwan china donated million doses sinopharm covid vaccines to…,Twitter for iPhone,http://twitter.com/download/iphone,25,0,en,"['day', 'nicaragua', 'sever', 'tie', 'taiwan', 'china', 'donated', 'million', 'dos', 'sinopharm', 'covid', 'vaccine', 'to…']",0.0,0.0,ZERO
63,1470354756455452673,1470354756455452673,breaking actors kareena kapoor khan amp amrita arora tested positive covid violated covid norms…,Twitter for Android,http://twitter.com/download/android,3,0,en,"['breaking', 'actor', 'kareena', 'kapoor', 'khan', 'amp', 'amrita', 'arora', 'tested', 'positive', 'covid', 'violated', 'covid', 'norms…']",0.5454545454545454,0.22727272727272727,POSITIVE
64,1470354755369279491,1470354755369279491,i’m glad managed get op assume aware mortality odds post op catch covid pre era vaccination that’s nurses sanitising everythingto protect wife best could,Twitter for iPhone,http://twitter.com/download/iphone,0,0,en,"['i’m', 'glad', 'managed', 'get', 'op', 'assume', 'aware', 'mortality', 'odds', 'post', 'op', 'catch', 'covid', 'pre', 'era', 'vaccination', 'that’s', 'nurse', 'sanitising', 'everythingto', 'protect', 'wife', 'best', 'could']",0.5166666666666667,0.5833333333333334,POSITIVE
65,1470354749300133894,1470354749300133894,americans died covid joebiden three long conversations talked chin…,Twitter for iPad,http://twitter.com/#!/download/ipad,370,0,en,"['american', 'died', 'covid', 'joebiden', 'three', 'long', 'conversation', 'talked', 'chin…']",0.4,-0.05,NEGATIVE
66,1470354742090084352,1470354742090084352,untrue theyve learned get away public learned nothing covid omnicron nhswebsite lockdown,Twitter for Android,http://twitter.com/download/android,0,0,en,"['untrue', 'theyve', 'learned', 'get', 'away', 'public', 'learned', 'nothing', 'covid', 'omnicron', 'nhswebsite', 'lockdown']",0.06666666666666667,0.0,ZERO
67,1470354741385252866,1470354741385252866,malaysia mon dec covid update live update cases cities amp areas …,Twitter for Android,http://twitter.com/download/android,32,0,en,"['malaysia', 'mon', 'dec', 'covid', 'update', 'live', 'update', 'case', 'city', 'amp', 'area', '…']",0.5,0.13636363636363635,POSITIVE
68,1470354737530867725,1470354737530867725,emergency vaccination blitz wednesday pm zwartkops drive thru r road centurion open pm pfizer amp jj…,Twitter for Android,http://twitter.com/download/android,3,0,en,"['emergency', 'vaccination', 'blitz', 'wednesday', 'pm', 'zwartkops', 'drive', 'thru', 'r', 'road', 'centurion', 'open', 'pm', 'pfizer', 'amp', 'jj…']",0.5,0.0,ZERO
69,1470354733902622720,1470354733902622720,southafrica confirmed new cases covid past hours,Twitter Web App,https://mobile.twitter.com,0,0,en,"['southafrica', 'confirmed', 'new', 'case', 'covid', 'past', 'hour']",0.5681818181818182,0.09545454545454546,POSITIVE
70,1470354733575589889,1470354733575589889,home covid testing kits run comes less hours announcement daily testing would become…,Twitter for iPhone,http://twitter.com/download/iphone,3,0,en,"['home', 'covid', 'testing', 'kit', 'run', 'come', 'le', 'hour', 'announcement', 'daily', 'testing', 'would', 'become…']",0.03333333333333333,-0.08333333333333333,NEGATIVE
71,1470354729188401158,1470354729188401158,help slow spread covid identify risk cases sooner selfreporting symptoms daily even feel well download app,Twitter for iPad,http://twitter.com/#!/download/ipad,0,0,en,"['help', 'slow', 'spread', 'covid', 'identify', 'risk', 'case', 'sooner', 'selfreporting', 'symptom', 'daily', 'even', 'feel', 'well', 'download', 'app']",0.19999999999999998,-0.15000000000000002,NEGATIVE
72,1470354728043249666,1470354728043249666,abcnews talking two days southerners crossing queensland border abc giving us more…,Twitter for Android,http://twitter.com/download/android,28,0,en,"['abcnews', 'talking', 'two', 'day', 'southerner', 'crossing', 'queensland', 'border', 'abc', 'giving', 'u', 'more…']",0.0,0.0,ZERO
73,1470354724171882501,1470354724171882501,kerala high couon monday questioned petitioner objection prime minister narendra modis photograph be…,Twitter for Android,http://twitter.com/download/android,8,0,en,"['kerala', 'high', 'couon', 'monday', 'questioned', 'petitioner', 'objection', 'prime', 'minister', 'narendra', 'modis', 'photograph', 'be…']",0.5399999999999999,0.16,POSITIVE
74,1470354724029452295,1470354724029452295,mminatau dont worry figure get way madness something like heard theres ko mabopane station issuing covid results nonsense ka rklipa nonsonso ka nonsonso,Twitter for Android,http://twitter.com/download/android,0,0,en,"['mminatau', 'dont', 'worry', 'figure', 'get', 'way', 'madness', 'something', 'like', 'heard', 'there', 'ko', 'mabopane', 'station', 'issuing', 'covid', 'result', 'nonsense', 'ka', 'rklipa', 'nonsonso', 'ka', 'nonsonso']",0.0,0.0,ZERO
75,1470354711165521923,1470354711165521923,oliver cromwell’s speech parliament april rings alarm bells torycorruption torysleaze t…,Twitter for iPad,http://twitter.com/#!/download/ipad,97,0,en,"['oliver', 'cromwell’s', 'speech', 'parliament', 'april', 'ring', 'alarm', 'bell', 'torycorruption', 'torysleaze', 't…']",0.0,0.0,ZERO
76,1470354709861093376,1470354709861093376,ridiculous party pharmaceutical broadcast last night borisjohnson covid cross lord kitchener…,Twitter for iPhone,http://twitter.com/download/iphone,299,0,en,"['ridiculous', 'party', 'pharmaceutical', 'broadcast', 'last', 'night', 'borisjohnson', 'covid', 'cross', 'lord', 'kitchener…']",0.35555555555555557,-0.1111111111111111,NEGATIVE
